4d56987b-7bda-45df-b850-4ff499982c2a, [14:09:20:828:50960828:828259000, Cliente 5]
4772de63-68b3-4a81-8079-9b04985fbc8c, [14:09:20:828:50960828:828259000, Cliente 5]
0e7d1f6a-59c3-4ad2-9dc0-faa709535987, [14:09:20:828:50960828:828259000, Cliente 5]
b28eadbb-b1f4-444f-ada2-dc452177af99, [14:09:21:836:50961836:836922000, Cliente 6]
d92021c7-8a83-41c2-b589-63ba01b593be, [14:09:21:836:50961836:836922000, Cliente 6]
c6f7a2cc-a4a6-4244-82a4-a2ccecb24642, [14:09:21:836:50961836:836922000, Cliente 6]
50e3c042-3b3f-44af-a4d9-1d5f03213886, [14:09:21:836:50961836:836922000, Cliente 6]
15cbec09-4cc0-40a2-b4ba-6a002ea439f7, [14:09:21:836:50961836:836922000, Cliente 6]
3f6a29f5-bb78-4165-86cb-fba7bee97461, [14:09:21:836:50961836:836922000, Cliente 6]
f90c1d6d-7394-4261-a040-d730a0abe4df, [14:09:21:836:50961836:836922000, Cliente 6]
e1f8c992-41f0-48a7-ae68-235c17d07b4f, [14:09:21:836:50961836:836922000, Cliente 6]
328c2a2f-bf8e-41f9-ab01-e13ee282d4c4, [14:09:21:836:50961836:836922000, Cliente 6]
90de9042-46ba-4b72-a2ed-c4910bccbdeb, [14:09:21:836:50961836:836922000, Cliente 6]
9af14a31-5d4f-4212-9527-d0ddeaadace1, [14:09:21:836:50961836:836922000, Cliente 6]
9a42baee-fb2d-4728-87bc-df20d641d1fd, [14:09:21:836:50961836:836922000, Cliente 6]
5bc7058c-a08e-42e1-ac5f-c4ce4fe21a03, [14:09:21:836:50961836:836922000, Cliente 6]
65b32e03-a4ce-43e5-b8a3-ac395ac5f392, [14:09:21:836:50961836:836922000, Cliente 6]
a41b3f24-99f5-47d7-87e8-73bc0848d5d1, [14:09:21:836:50961836:836922000, Cliente 6]
45eb9d06-d13e-4264-9727-6c040f58ef51, [14:09:21:836:50961836:836922000, Cliente 6]
e4790f1c-28b5-4a3f-8835-e23523e63aa9, [14:09:21:836:50961836:836922000, Cliente 6]
f8c7e08d-1440-4fb1-9743-cc4c61857735, [14:09:21:836:50961836:836922000, Cliente 6]
845fd3a6-1d3f-4e17-97fb-23d11f31afca, [14:09:21:836:50961836:836922000, Cliente 6]
2dd911ab-5202-4caa-bc57-703c687e19ca, [14:09:21:836:50961836:836922000, Cliente 6]
d74235fa-e931-422f-8b8b-37312e840c13, [14:09:21:836:50961836:836922000, Cliente 6]
57708655-a62c-43bb-bd4a-34a3c1274096, [14:09:21:836:50961836:836922000, Cliente 6]
7f55766e-84d4-4ead-9f50-10394e64fbfd, [14:09:21:836:50961836:836922000, Cliente 6]
11666a98-591b-4bf6-be67-332117fc8e29, [14:09:21:836:50961836:836922000, Cliente 6]
e9d1dab4-6672-471a-ba81-f19f3d8b6a61, [14:09:21:836:50961836:836922000, Cliente 6]
b1826745-7be5-45c8-a849-0f3073e68cee, [14:09:21:836:50961836:836922000, Cliente 6]
319530ba-ee90-409a-a99f-6d3514ca68ea, [14:09:21:836:50961836:836922000, Cliente 6]
4f2db619-3d1d-4a5a-88dd-cea7562311ca, [14:09:21:836:50961836:836922000, Cliente 6]
b618fb38-cb91-42f5-939c-38aebab4589d, [14:09:21:836:50961836:836922000, Cliente 6]
326ef842-6256-4ee6-a502-12aff901d4ca, [14:09:21:836:50961836:836922000, Cliente 6]
8b647c19-751a-45d4-87ef-96dbd495e8e7, [14:09:22:851:50962851:851831000, Cliente 7]
57b07df5-5dc7-4e94-91fe-53f4bbda2e94, [14:09:22:851:50962851:851831000, Cliente 7]
4dc27e28-c7dd-4710-9da4-743d66ff6a66, [14:09:22:851:50962851:851831000, Cliente 7]
00c457e4-f244-40b4-a27d-2be10ef7ef94, [14:09:22:851:50962851:851831000, Cliente 7]
94b2cea6-d4b5-40af-bfed-4cbc9868bae6, [14:09:22:851:50962851:851831000, Cliente 7]
db0685bb-7442-4dd8-ac34-a18a9fb68f28, [14:09:22:851:50962851:851831000, Cliente 7]
0dd8ae44-ad55-4c79-8ec2-3b41d31b6f1e, [14:09:22:851:50962851:851831000, Cliente 7]
23b4bd5c-5c85-431d-8967-486e201e01b5, [14:09:22:851:50962851:851831000, Cliente 7]
1cacf8a3-f38a-4bb4-94ca-cea7f2363fb5, [14:09:22:851:50962851:851831000, Cliente 7]
a63141ec-d908-4cea-a6e0-88cc7db8bbfe, [14:09:22:851:50962851:851831000, Cliente 7]
9575061a-ba2c-4b8e-b102-1a4a773e1197, [14:09:22:851:50962851:851831000, Cliente 7]
b82ef42a-200f-4f0b-aaf8-0aec93e43e1c, [14:09:22:851:50962851:851831000, Cliente 7]
34647885-858c-4746-8e57-9da89e9199ac, [14:09:22:851:50962851:851831000, Cliente 7]
20452250-8fb7-412b-8572-c103741314d1, [14:09:22:851:50962851:851831000, Cliente 7]
036c4c1c-a200-43a0-813d-5a0bc226feb1, [14:09:22:851:50962851:851831000, Cliente 7]
d9caa55c-79dc-4f97-8a8a-9334070ca08b, [14:09:22:851:50962851:851831000, Cliente 7]
03307643-c500-4090-ab82-cff6a788d36a, [14:09:22:851:50962851:851831000, Cliente 7]
029cf0c4-a8db-4bb3-875e-9d7c1e663151, [14:09:22:851:50962851:851831000, Cliente 7]
55ff414c-e53e-48f1-a3fb-7da0bda497cc, [14:09:22:851:50962851:851831000, Cliente 7]
bdb6ce58-095a-4771-982d-c692152e948e, [14:09:22:851:50962851:851831000, Cliente 7]
e24c6f2e-4a93-4668-8812-4dfbb89ee903, [14:09:22:851:50962851:851831000, Cliente 7]
04b105ea-0378-4441-8aed-86be1320503a, [14:09:22:851:50962851:851831000, Cliente 7]
7a79ece6-c604-4a3b-8261-18edc5464a0b, [14:09:22:851:50962851:851831000, Cliente 7]
c52a1140-e25d-429b-9554-04b77fdd40b9, [14:09:22:851:50962851:851831000, Cliente 7]
c7bb41e4-2e14-40ba-b15a-956c05daebc0, [14:09:22:851:50962851:851831000, Cliente 7]
56311743-b5aa-447c-97e6-d35896977e28, [14:09:22:851:50962851:851831000, Cliente 7]
9b65c144-fba1-4b9b-8b38-a630e9eb65e8, [14:09:22:851:50962851:851831000, Cliente 7]
2f01aa45-c5b8-486e-a993-7d471042cdbd, [14:09:22:851:50962851:851831000, Cliente 7]
4f5b33a2-348c-4ce6-a611-6a3b775934f3, [14:09:22:851:50962851:851831000, Cliente 7]
3ffc3e27-96ca-4904-96c3-4f8312e609c6, [14:09:22:851:50962851:851831000, Cliente 7]
58782ffe-433c-467a-9027-845e957a4df9, [14:09:23:856:50963856:856963000, Cliente 8]
14a12812-4112-4a33-b6ed-d565283b859e, [14:09:23:856:50963856:856963000, Cliente 8]
8f0e37aa-056a-43fa-84cd-f96bb5023142, [14:09:23:856:50963856:856963000, Cliente 8]
c0ba1908-19ea-442a-94ca-b300990f7ace, [14:09:23:856:50963856:856963000, Cliente 8]
