670f0186-0ea6-4853-be7b-cf56fc766b83, [20:29:21:067:73761067:067429000, Cliente 4]
8a5e832c-fdcf-4464-aeb5-8ea97dc33c76, [20:29:21:067:73761067:067429000, Cliente 4]
82aa17b8-a6fe-4234-a939-f1019120f8be, [20:29:21:067:73761067:067429000, Cliente 4]
51926b97-f320-4d54-a73f-f289bbed3e5b, [20:29:21:067:73761067:067429000, Cliente 4]
b948f3df-8e3c-42e9-898d-cd0a10214d75, [20:29:21:067:73761067:067429000, Cliente 4]
6747602b-31f8-4058-b7b2-36c012ee867f, [20:29:21:067:73761067:067429000, Cliente 4]
06721dfe-2ae1-480d-8d55-052bd13c6d31, [20:29:21:067:73761067:067429000, Cliente 4]
3620f5e9-6283-426c-a16f-a5884b31a431, [20:29:21:067:73761067:067429000, Cliente 4]
dae9547f-e2fb-4455-a1fe-e558cef45e68, [20:29:21:067:73761067:067429000, Cliente 4]
3452e2e8-2214-46cb-b8a0-4841d4a44c71, [20:29:22:098:73762098:098661000, Cliente 5]
35fbce5c-a21d-4e10-9fdc-e49b55331303, [20:29:22:098:73762098:098661000, Cliente 5]
932cd237-2096-4ea6-b3d8-b636650917da, [20:29:22:098:73762098:098661000, Cliente 5]
c05c3be0-934e-4de6-8a10-2860c99ccfd1, [20:29:22:098:73762098:098661000, Cliente 5]
0eb22dde-1ac6-4348-9b2f-67c20a100aaf, [20:29:22:098:73762098:098661000, Cliente 5]
d1b386cb-81c7-43e1-8f6e-4a8367eab646, [20:29:22:098:73762098:098661000, Cliente 5]
fcd35639-c131-4894-99b3-5dc44996e997, [20:29:22:098:73762098:098661000, Cliente 5]
271247d7-b5f7-4feb-8aa6-137226339ef9, [20:29:22:098:73762098:098661000, Cliente 5]
cc135798-1acf-4e88-b625-16637c2d8a77, [20:29:22:098:73762098:098661000, Cliente 5]
afd7594b-02f3-44e4-87f2-a11861bd3b02, [20:29:22:098:73762098:098661000, Cliente 5]
9313eba1-f5e3-4ccc-93c6-f227d824e2f2, [20:29:22:098:73762098:098661000, Cliente 5]
39b28d27-c365-4f67-a942-6ac8ccd373d4, [20:29:22:098:73762098:098661000, Cliente 5]
ea223c19-ac13-451d-81f6-07273d4919b7, [20:29:22:098:73762098:098661000, Cliente 5]
2bfbab44-2f62-4de4-830c-94d455113aa5, [20:29:22:098:73762098:098661000, Cliente 5]
cb0e19b8-9034-4804-b4d1-fb42228317f5, [20:29:22:098:73762098:098661000, Cliente 5]
a55b98e3-6718-4ef1-bbc7-37b627f1d443, [20:29:22:098:73762098:098661000, Cliente 5]
4c173a42-be09-48a8-80cc-22f6297c2241, [20:29:22:098:73762098:098661000, Cliente 5]
206c8c0c-329f-493e-a4db-567dbe35abd3, [20:29:22:098:73762098:098661000, Cliente 5]
