e8e515f1-b8b1-4f39-8631-f76d8cdbdbc5, [13:09:29:578:47369578:578527000, Cliente 2]
50e2a735-dfee-4ba8-a19d-2261995eadcc, [13:09:29:578:47369578:578527000, Cliente 2]
e9b891e3-7b5b-4c2f-812c-7d2a8725fbe0, [13:09:29:578:47369578:578527000, Cliente 2]
a412aeea-9688-4e80-9a5b-0c4c62008b24, [13:09:29:578:47369578:578527000, Cliente 2]
b354ea8e-8540-4332-be6c-9251b68d1ec2, [13:09:30:581:47370581:581833000, Cliente 3]
aa183cba-31b1-4c8c-81b6-4be0a26a1364, [13:09:30:581:47370581:581833000, Cliente 3]
eebaceec-e494-498d-bec9-fc388598e359, [13:09:30:581:47370581:581833000, Cliente 3]
84d71563-8947-4990-8e9c-ce7ce1b83688, [13:09:30:581:47370581:581833000, Cliente 3]
124c07e5-2d51-4926-94f2-e07202af8ac0, [13:09:30:581:47370581:581833000, Cliente 3]
bed3fa73-9714-4ce2-be0f-a3b7c2728a82, [13:09:30:581:47370581:581833000, Cliente 3]
5f6562c2-67ff-4026-b7cf-dcc958cf1998, [13:09:30:581:47370581:581833000, Cliente 3]
9dd13781-82be-4b7a-9c8a-a6ebd7c0df06, [13:09:30:581:47370581:581833000, Cliente 3]
5bc23f9a-0736-48c6-949b-62805a33805e, [13:09:30:581:47370581:581833000, Cliente 3]
0a80eb09-7a7a-4ea3-bab0-a1af43763bd0, [13:09:30:581:47370581:581833000, Cliente 3]
60b1a5fd-3058-4da1-864e-29fda03aed0a, [13:09:30:581:47370581:581833000, Cliente 3]
c5d13030-e1b9-4996-807f-a575355795c6, [13:09:30:581:47370581:581833000, Cliente 3]
7b973430-cd5a-4781-b4b6-8af63e8ccc5a, [13:09:30:581:47370581:581833000, Cliente 3]
1f83a437-fba1-470f-9714-b2563554e478, [13:09:30:581:47370581:581833000, Cliente 3]
6ca61665-1787-4eb7-8916-afa0e185ed64, [13:09:30:581:47370581:581833000, Cliente 3]
40fc154e-f0ba-48a7-89a7-9da1b69eebf0, [13:09:30:581:47370581:581833000, Cliente 3]
bab2af1e-e9e2-40a0-b77d-05d08227dc23, [13:09:30:581:47370581:581833000, Cliente 3]
f2ae06d4-4a74-4ace-ab09-75ec74945641, [13:09:30:581:47370581:581833000, Cliente 3]
8ef6d911-336e-405b-9b8d-94e80ba897b8, [13:09:30:581:47370581:581833000, Cliente 3]
7c1ad971-6b0a-46be-b67b-ca4c906e67ec, [13:09:30:581:47370581:581833000, Cliente 3]
8c94cad5-cdef-49dd-878c-3ad490c312c1, [13:09:30:581:47370581:581833000, Cliente 3]
37526035-0f10-45b7-b8c2-51c93a2654cb, [13:09:30:581:47370581:581833000, Cliente 3]
e9dfa9ec-32a3-4e86-8246-40f777a38440, [13:09:30:581:47370581:581833000, Cliente 3]
3ed2e151-1a63-4917-86f3-161d06f6b268, [13:09:30:581:47370581:581833000, Cliente 3]
23a4d361-a6e0-4502-b632-5b263d8ee01c, [13:09:30:581:47370581:581833000, Cliente 3]
3d0e06e4-c463-4f91-ae69-665f9604469d, [13:09:30:581:47370581:581833000, Cliente 3]
0ec2dce0-e52c-43d6-a499-4ae63a6fdbb8, [13:09:30:581:47370581:581833000, Cliente 3]
b52d0669-a047-46d9-9b3d-86b9668aa49a, [13:09:30:581:47370581:581833000, Cliente 3]
8cc1f1b8-828d-4eb9-80ef-7dc0de478cb5, [13:09:30:581:47370581:581833000, Cliente 3]
ff010d24-b4cb-48d8-bafe-4b7da98d6dd1, [13:09:30:581:47370581:581833000, Cliente 3]
ffc5dd1a-47bd-42c7-86c1-9560c53924e1, [13:09:30:581:47370581:581833000, Cliente 3]
14f58ac6-e9d1-4bb1-97f8-95c9ba478997, [13:09:30:581:47370581:581833000, Cliente 3]
24ea67eb-be48-4897-9e89-1917889cf5ca, [13:09:30:581:47370581:581833000, Cliente 3]
eff8ccc5-b0e0-4ca9-8bf1-4dd8e8468f09, [13:09:30:581:47370581:581833000, Cliente 3]
b1e73177-0975-4c35-9dd4-d8b9d7b56567, [13:09:30:581:47370581:581833000, Cliente 3]
065561e0-4d32-491d-a14c-61fbaf421ee5, [13:09:30:581:47370581:581833000, Cliente 3]
dafafe03-485e-479e-80c4-56f26f87d570, [13:09:30:581:47370581:581833000, Cliente 3]
e5b01728-c7cf-477e-8877-550ca0c0ef24, [13:09:30:581:47370581:581833000, Cliente 3]
c552d693-9396-4644-9fa8-e75f54aea868, [13:09:30:581:47370581:581833000, Cliente 3]
af2a279a-a1b2-4499-9c85-0f86f69b1f79, [13:09:30:581:47370581:581833000, Cliente 3]
506c3806-5162-4905-b496-ead084d55a81, [13:09:30:581:47370581:581833000, Cliente 3]
7f3fbe9a-4331-4536-b7be-8be73115e225, [13:09:30:581:47370581:581833000, Cliente 3]
b7fad0bd-0b14-48ea-a545-42d1b7abbdce, [13:09:30:581:47370581:581833000, Cliente 3]
93b88ba3-3596-40e9-b840-2e02a31b1d7a, [13:09:30:581:47370581:581833000, Cliente 3]
f45f6c56-42bf-499d-a95a-c4935a0222b6, [13:09:30:581:47370581:581833000, Cliente 3]
bb9d5910-0209-417d-82dc-9ccc2fe5f431, [13:09:30:581:47370581:581833000, Cliente 3]
4ada760e-8dff-4c5e-898e-3e7a189e8869, [13:09:30:581:47370581:581833000, Cliente 3]
a9f0ef44-f54d-42bd-9eec-975dd2538ffb, [13:09:30:581:47370581:581833000, Cliente 3]
50b1eae6-23e8-47aa-9fdb-d3264f73ce6c, [13:09:30:581:47370581:581833000, Cliente 3]
381d9ef0-68d7-4ebf-8169-8de666a0d5de, [13:09:30:581:47370581:581833000, Cliente 3]
0fd73796-d163-401c-8b15-557bf0e013c6, [13:09:31:591:47371591:591238000, Cliente 4]
875f45c2-b928-47db-b485-03e9d311b4d6, [13:09:31:591:47371591:591238000, Cliente 4]
aa5dc78d-df62-4fac-a1a0-671cf1fcf2ad, [13:09:31:591:47371591:591238000, Cliente 4]
cdd113c1-5162-4435-b5c8-811188b237a7, [13:09:31:591:47371591:591238000, Cliente 4]
5fc67c31-d138-4ae4-967a-8dbb19de91e0, [13:09:31:591:47371591:591238000, Cliente 4]
4a95e73a-e5a8-4325-8ccf-94e82c6f301a, [13:09:31:591:47371591:591238000, Cliente 4]
827bef54-32cd-41b3-91a7-bc93f73d6a82, [13:09:31:591:47371591:591238000, Cliente 4]
8187666b-4de3-4c37-9796-7a196d25cff3, [13:09:31:591:47371591:591238000, Cliente 4]
b347c5f9-0c3e-4434-a01b-18604533f2e5, [13:09:31:591:47371591:591238000, Cliente 4]
343525f6-73a1-4209-9b56-7713b1adf66f, [13:09:31:591:47371591:591238000, Cliente 4]
cc0c6ba2-3a51-49a2-81bb-0e93e8526d99, [13:09:31:591:47371591:591238000, Cliente 4]
6667c005-f79b-4a1d-a672-78163a5653ce, [13:09:31:591:47371591:591238000, Cliente 4]
6aba3c22-a33b-48bc-9d58-26ee93650fe5, [13:09:31:591:47371591:591238000, Cliente 4]
c149739e-fa88-4352-afa7-73a02bd4920b, [13:09:31:591:47371591:591238000, Cliente 4]
a130a9d9-e997-4c0b-a6d7-145d2e77874f, [13:09:31:591:47371591:591238000, Cliente 4]
cd1676d7-9d2b-4fe8-b6d8-45f70715f310, [13:09:31:591:47371591:591238000, Cliente 4]
5e36c9f7-14d3-42e1-a9cc-2a3112cab257, [13:09:31:591:47371591:591238000, Cliente 4]
2abae43f-3fa4-4d4f-bdaa-8ab06aa40847, [13:09:31:591:47371591:591238000, Cliente 4]
8090c7e1-bfac-4b49-9028-bef86ca6d880, [13:09:31:591:47371591:591238000, Cliente 4]
46939c40-e7c8-49d2-aa89-3fb2380277a2, [13:09:31:591:47371591:591238000, Cliente 4]
4e74e558-5a08-4d03-8bed-0a8982b4f438, [13:09:31:591:47371591:591238000, Cliente 4]
4aba2e3c-0ce1-43e8-a54a-6872b395dfc9, [13:09:31:591:47371591:591238000, Cliente 4]
656c63a5-87d7-409f-ba17-79188ace7bd7, [13:09:31:591:47371591:591238000, Cliente 4]
c071b763-6f19-491e-938a-56a43da792ba, [13:09:31:591:47371591:591238000, Cliente 4]
ba64ab5a-cdad-4e38-a599-f1401859c4d0, [13:09:31:591:47371591:591238000, Cliente 4]
924320b9-17fe-482a-8080-92def1bdd49e, [13:09:31:591:47371591:591238000, Cliente 4]
04abda9b-46b5-4162-8f6e-92903a873f34, [13:09:31:591:47371591:591238000, Cliente 4]
93fbde11-4763-412d-88cf-47cc76a49043, [13:09:31:591:47371591:591238000, Cliente 4]
f9cade64-dbb5-44f7-8181-e181ee227445, [13:09:31:591:47371591:591238000, Cliente 4]
a3875b44-c4fb-4851-909b-02aed6e017fe, [13:09:31:591:47371591:591238000, Cliente 4]
16877070-bb6c-4d0c-9f0f-e237c0ec069b, [13:09:31:591:47371591:591238000, Cliente 4]
1d70ede4-58a6-47a4-a609-565fa408cbaf, [13:09:31:591:47371591:591238000, Cliente 4]
624c6cdb-3648-4e2b-9e6f-4ea8f0df668d, [13:09:31:591:47371591:591238000, Cliente 4]
42ecac50-7fa2-48e1-807e-43e72cd3e297, [13:09:31:591:47371591:591238000, Cliente 4]
5c1c057c-d9e0-4f20-a158-62db9dcdfb76, [13:09:31:591:47371591:591238000, Cliente 4]
cc34ed9c-0ee7-40b7-9d0e-d9168215d0b7, [13:09:31:591:47371591:591238000, Cliente 4]
4502cde1-9ec9-4a0c-929c-0e5881eedaa2, [13:09:31:591:47371591:591238000, Cliente 4]
e077da96-1a74-40c8-8802-31187db273c2, [13:09:31:591:47371591:591238000, Cliente 4]
7caefb18-2aba-4876-9ee1-91f0fc69403d, [13:09:31:591:47371591:591238000, Cliente 4]
4c028b72-34fb-4947-8bf5-ec5a96131bbd, [13:09:31:591:47371591:591238000, Cliente 4]
dcc62f37-2f53-4ddd-ab3d-c81d2a904d95, [13:09:31:591:47371591:591238000, Cliente 4]
2621dc47-34ae-40db-aade-5646a8e698d8, [13:09:31:591:47371591:591238000, Cliente 4]
cd3c8e6e-a296-4de7-a778-2e79a04b1787, [13:09:31:591:47371591:591238000, Cliente 4]
164a30d5-2eab-4bdd-bc3b-6f4920ac8b3f, [13:09:31:591:47371591:591238000, Cliente 4]
f6de7bca-eafd-43f0-962e-989b8a4afedc, [13:09:31:591:47371591:591238000, Cliente 4]
ee11d6ca-0fe8-4e51-82d5-743c96ec80fc, [13:09:31:591:47371591:591238000, Cliente 4]
ef40f153-a381-4f57-994c-ca2a521e3186, [13:09:31:591:47371591:591238000, Cliente 4]
8ef0ac4f-6ca1-47e4-846e-4d3280535582, [13:09:31:591:47371591:591238000, Cliente 4]
2165fea9-74bf-4882-88bd-f0bed6732e7b, [13:09:31:591:47371591:591238000, Cliente 4]
8779aa7f-b499-4ad9-a0d2-d14f87ec106f, [13:09:31:591:47371591:591238000, Cliente 4]
d680ffff-333c-4891-9491-457d7a87b1d5, [13:09:32:601:47372601:601196000, Cliente 5]
4d3c2eb2-d103-436c-a191-0a006c1d77e7, [13:09:32:601:47372601:601196000, Cliente 5]
20840b32-6354-4fce-84af-ec18bfbe39b9, [13:09:32:601:47372601:601196000, Cliente 5]
f4320703-ecdc-4b88-9d98-8c8ade893c8c, [13:09:32:601:47372601:601196000, Cliente 5]
66c89a94-5249-4c13-b212-587de0d8ac92, [13:09:32:601:47372601:601196000, Cliente 5]
005b6b50-15e6-40ca-9243-478141c49790, [13:09:32:601:47372601:601196000, Cliente 5]
785cb960-01c4-43e4-ae06-bb1e8869c145, [13:09:32:601:47372601:601196000, Cliente 5]
8a5fe9cc-046d-41a2-a4b2-dc8fff73bc3c, [13:09:32:601:47372601:601196000, Cliente 5]
4425dc90-4621-44d6-8dcb-de7f8ce50722, [13:09:32:601:47372601:601196000, Cliente 5]
d2e0fc61-03c2-438e-acd3-73d47ee74c6b, [13:09:32:601:47372601:601196000, Cliente 5]
5463bbd5-8a4a-435e-b485-b6c1c4186211, [13:09:32:601:47372601:601196000, Cliente 5]
584cf1ca-ef3f-4b90-b54a-20fe179b25de, [13:09:32:601:47372601:601196000, Cliente 5]
16d3671e-256b-41f6-9e26-13bac0513926, [13:09:32:601:47372601:601196000, Cliente 5]
a31939b5-e3a2-430d-ae75-6b74ec53abf8, [13:09:32:601:47372601:601196000, Cliente 5]
8a0573ea-841b-4f64-8107-47d4b88c0ddb, [13:09:32:601:47372601:601196000, Cliente 5]
29415a3c-f38e-4e2e-9f79-207c258e4ae6, [13:09:32:601:47372601:601196000, Cliente 5]
6fbcee31-ccbe-473a-b11b-66501439cb7d, [13:09:32:601:47372601:601196000, Cliente 5]
