34ad5d03-7861-4c27-a98a-7a2010cafdf0, [19:58:03:594:71883594:594323000, Cliente 4]
8ca66a39-22be-49aa-b706-e26dc2826823, [19:58:03:594:71883594:594323000, Cliente 4]
21441f28-8fa7-4a88-8801-e0b7d033ec33, [19:58:03:594:71883594:594323000, Cliente 4]
91ef6179-aac3-4ff2-80b1-fb646ce964e9, [19:58:03:594:71883594:594323000, Cliente 4]
35857c4b-8c8e-47c4-83ee-849ce2b94a95, [19:58:03:594:71883594:594323000, Cliente 4]
94d996a2-9edb-43f1-bae3-41d9b928eaee, [19:58:03:594:71883594:594323000, Cliente 4]
15a629db-77b1-462c-97ea-790a7bda2cba, [19:58:03:594:71883594:594323000, Cliente 4]
8f78dd7f-c293-4b1d-a4d8-ae0bc120a75f, [19:58:03:594:71883594:594323000, Cliente 4]
c850eb9e-bb49-4e6e-bd91-e5d15b81e298, [19:58:03:594:71883594:594323000, Cliente 4]
5dbc3098-7bc7-4957-bcb4-6f3d4fcef3db, [19:58:03:594:71883594:594323000, Cliente 4]
96707706-630c-4402-a98f-8df10fca6ae0, [19:58:03:594:71883594:594323000, Cliente 4]
bcb932e9-801c-478a-b610-ebfd15b1a087, [19:58:03:594:71883594:594323000, Cliente 4]
4092ebc5-e241-4f55-bb24-96c1e26f5ab0, [19:58:03:594:71883594:594323000, Cliente 4]
792ee539-edb3-4fd4-aca2-63581b02ff51, [19:58:04:590:71884590:590787000, Cliente 5]
099861a1-2a92-4a11-99dd-e5c80c808fc9, [19:58:04:590:71884590:590787000, Cliente 5]
a6caec05-eacf-472c-b25f-c24f5166020b, [19:58:04:590:71884590:590787000, Cliente 5]
77830bc4-faa9-427e-9de3-be376b6f62e3, [19:58:04:590:71884590:590787000, Cliente 5]
24ddbf83-7419-4e32-879d-63bc3d7ca74b, [19:58:04:590:71884590:590787000, Cliente 5]
d8675de4-39a6-48dc-b324-33a13bffb4f2, [19:58:04:590:71884590:590787000, Cliente 5]
236f30bb-e719-475c-b8e3-414bc656eac7, [19:58:04:590:71884590:590787000, Cliente 5]
e877d586-cd17-4ea7-b9a1-36ff43307894, [19:58:04:590:71884590:590787000, Cliente 5]
2c1bf827-df34-4d8e-9783-8d3cf8e31aeb, [19:58:04:590:71884590:590787000, Cliente 5]
842e17cb-80af-4eef-94e1-7fb11fb17584, [19:58:04:590:71884590:590787000, Cliente 5]
e9ccb9ab-28d7-43ac-aaba-cd1d3f488092, [19:58:04:590:71884590:590787000, Cliente 5]
e2c7e10e-dc31-4227-8050-ba4bd57c0b1c, [19:58:04:590:71884590:590787000, Cliente 5]
ac8ee4af-14ed-4e7c-a444-6ba3c83790f3, [19:58:04:590:71884590:590787000, Cliente 5]
002e6f93-bdf7-42b6-8f61-c22101b063b3, [19:58:04:590:71884590:590787000, Cliente 5]
