c8371dad-35f9-43b2-93be-1a522e5ffb75, [20:07:02:015:72422015:015357000, Cliente 2]
1c094170-bbf9-4089-a5e4-371cea3ce83d, [20:07:02:015:72422015:015357000, Cliente 2]
e9cc911a-793e-4ba2-8afe-2dfffe071078, [20:07:02:015:72422015:015357000, Cliente 2]
c676e132-5743-490e-b385-e8391659d72f, [20:07:02:015:72422015:015357000, Cliente 2]
36078b5c-327d-41d7-809e-e61f8f3f2649, [20:07:02:015:72422015:015357000, Cliente 2]
3d12f9b1-a156-4a68-b6c3-9de8fc56efa4, [20:07:02:015:72422015:015357000, Cliente 2]
2b42fb0f-c98a-4ee1-ae5c-00eb54a5f526, [20:07:02:015:72422015:015357000, Cliente 2]
43bf9d5f-9f86-44fb-b236-e8e002a7b5d9, [20:07:02:015:72422015:015357000, Cliente 2]
d675bf8b-8714-4dea-9abc-fd8ff097e94a, [20:07:02:015:72422015:015357000, Cliente 2]
e3b79885-6c5b-4616-b775-913b98fd9585, [20:07:02:015:72422015:015357000, Cliente 2]
d2fec66d-9e6c-459c-b5d8-970d2b825e8c, [20:07:02:015:72422015:015357000, Cliente 2]
6a9c4aa0-97a2-422a-92ca-7852f6ce7f8b, [20:07:02:015:72422015:015357000, Cliente 2]
0ca63fe7-3f1a-4eac-aa88-e14da6259c41, [20:07:02:015:72422015:015357000, Cliente 2]
b1f85b9f-9f47-43f5-ab8f-1e41d6c829f9, [20:07:02:015:72422015:015357000, Cliente 2]
3dd26854-7abd-48f0-a8a6-500e1f5d3d53, [20:07:02:015:72422015:015357000, Cliente 2]
82ea78a9-fc47-4b3c-ad00-d52d33f4f1f9, [20:07:02:015:72422015:015357000, Cliente 2]
56b92c24-2d3f-463b-8cbd-cf24ff301aeb, [20:07:02:015:72422015:015357000, Cliente 2]
5368f4f0-bef0-42c2-8ac9-429d081ca60e, [20:07:02:015:72422015:015357000, Cliente 2]
d001a946-4b88-4dd4-970a-ea09ec4a7e19, [20:07:02:015:72422015:015357000, Cliente 2]
71f51fd4-efd4-4365-b345-3b5c9dd9a562, [20:07:02:015:72422015:015357000, Cliente 2]
ed680fd7-1a4a-4afd-810c-f0bfc9fdee5a, [20:07:02:015:72422015:015357000, Cliente 2]
b89ebf75-d843-451e-a816-302efdb30b72, [20:07:02:015:72422015:015357000, Cliente 2]
5b08bff1-cfea-477e-a933-9de77f3de869, [20:07:02:015:72422015:015357000, Cliente 2]
bba959ed-ad6c-487f-b3dc-621e6ea3476b, [20:07:02:015:72422015:015357000, Cliente 2]
165fa696-834b-4629-a267-9025a7dc97a8, [20:07:02:015:72422015:015357000, Cliente 2]
b2509774-25aa-4e70-84a7-91c711d5e6e9, [20:07:02:015:72422015:015357000, Cliente 2]
591f7edf-f86a-4307-8949-b9af9b536a5f, [20:07:02:015:72422015:015357000, Cliente 2]
3459dcb2-51b0-479f-80a6-0e3faf8f8521, [20:07:02:015:72422015:015357000, Cliente 2]
c2f540a2-ef16-4410-822d-c4d5c06fe6a9, [20:07:02:015:72422015:015357000, Cliente 2]
1629eca3-080b-48ee-ac65-5937e3ed6e83, [20:07:02:015:72422015:015357000, Cliente 2]
bea48605-52e0-41e1-bd88-a3a55d7c5efc, [20:07:02:015:72422015:015357000, Cliente 2]
bcb6e1bf-5efe-4f4e-8c5e-9f465e7c0ee7, [20:07:02:015:72422015:015357000, Cliente 2]
