98eed80a-22f0-4f8d-b5c8-f591d3734e10, [19:39:10:459:70750459:459993000, Cliente 3]
f81675b5-12c7-4262-8ae0-5bc856989102, [19:39:10:459:70750459:459993000, Cliente 3]
8ddeb79e-7e8f-4a0d-a034-2161ee8a7cd2, [19:39:10:459:70750459:459993000, Cliente 3]
64db7874-fc32-4d1a-9bb1-de6d22e79a6a, [19:39:10:459:70750459:459993000, Cliente 3]
b350856f-bab6-4d1e-acb0-4c1242725533, [19:39:10:459:70750459:459993000, Cliente 3]
a76cd329-00e2-470b-a45f-731a5b9a3d38, [19:39:10:459:70750459:459993000, Cliente 3]
663d4213-7800-4d8c-91c2-450eb14d5eb3, [19:39:10:459:70750459:459993000, Cliente 3]
30d080aa-0484-4b9c-9660-d8635879e7d0, [19:39:10:459:70750459:459993000, Cliente 3]
a0df9b87-00c3-4a37-92f2-e916ca377723, [19:39:10:459:70750459:459993000, Cliente 3]
1c7582c0-7d07-42f3-9f44-da5d8604b57c, [19:39:10:459:70750459:459993000, Cliente 3]
b339bc0d-acc3-4d91-91b1-91d598fdd84c, [19:39:10:459:70750459:459993000, Cliente 3]
490e4618-ec15-4b4d-b809-2d641ab5a849, [19:39:10:459:70750459:459993000, Cliente 3]
07e31e85-b6e3-405d-af03-0698c2307a4d, [19:39:10:459:70750459:459993000, Cliente 3]
32f4f7d4-0caf-4593-8f3f-dadbe9820909, [19:39:10:459:70750459:459993000, Cliente 3]
1133c6de-f7f7-4697-ae06-0aec36e71b32, [19:39:10:459:70750459:459993000, Cliente 3]
23720a44-9e28-4d41-8bfa-173dad121492, [19:39:10:459:70750459:459993000, Cliente 3]
21977e2b-3989-4e48-aad4-2a84c69d206c, [19:39:10:459:70750459:459993000, Cliente 3]
aa8dda67-2d2d-4d51-84fb-1197bec5e796, [19:39:10:459:70750459:459993000, Cliente 3]
12f58f97-9362-4938-bb57-325202da2489, [19:39:10:459:70750459:459993000, Cliente 3]
267f1788-8931-4e93-bc95-56752dd46da2, [19:39:10:459:70750459:459993000, Cliente 3]
472e3a76-15b9-466a-a1ac-b49c9f3ce7e2, [19:39:10:459:70750459:459993000, Cliente 3]
cf7fa4ec-be61-4292-806b-255abddcec6a, [19:39:10:459:70750459:459993000, Cliente 3]
e2894942-6999-4f37-b1a8-5f8135c3a857, [19:39:10:459:70750459:459993000, Cliente 3]
eb14716a-9ed5-4c5c-a42d-d251bd0b01e0, [19:39:10:459:70750459:459993000, Cliente 3]
3ff5f00c-6edf-4272-8896-8694826e9083, [19:39:10:459:70750459:459993000, Cliente 3]
15c1b67c-7734-473f-9a4b-92bff6520c0a, [19:39:10:459:70750459:459993000, Cliente 3]
7aa8ae1b-c2d1-4701-a73d-902b7f83898c, [19:39:10:459:70750459:459993000, Cliente 3]
b69a425f-7af2-400c-a003-177fd416564b, [19:39:10:459:70750459:459993000, Cliente 3]
4eabeae3-387c-4d39-8fd5-fade76b2c137, [19:39:10:459:70750459:459993000, Cliente 3]
e4a555ed-942a-4570-8343-25f3bf26ecae, [19:39:10:459:70750459:459993000, Cliente 3]
5da7cf52-12f5-4a69-9606-164b05da4909, [19:39:10:459:70750459:459993000, Cliente 3]
38d97073-8a03-4c94-9acc-58f9abf0379d, [19:39:10:459:70750459:459993000, Cliente 3]
13b8a2bd-8d89-434d-a4b9-6f33a4ad9392, [19:39:10:459:70750459:459993000, Cliente 3]
ff9c6f64-4e49-48fc-8f46-063bb0b29c05, [19:39:11:456:70751456:456819000, Cliente 4]
acfb3909-9bec-4b70-92c3-a1d95090e848, [19:39:11:456:70751456:456819000, Cliente 4]
e32f487f-5f10-4490-b381-6f7497680a83, [19:39:11:456:70751456:456819000, Cliente 4]
ebf4e259-58ed-4638-8e2e-0f69b1ab9224, [19:39:11:456:70751456:456819000, Cliente 4]
c3026ad5-33ac-45ca-adc0-836a3289fec0, [19:39:11:456:70751456:456819000, Cliente 4]
10458510-6f4f-433b-9bea-0ccdc06fbba1, [19:39:11:456:70751456:456819000, Cliente 4]
223fad90-42df-4af8-ac19-db1f67bf4cdd, [19:39:11:456:70751456:456819000, Cliente 4]
d6b03ad1-b1a2-463a-a19e-2329d954e787, [19:39:11:456:70751456:456819000, Cliente 4]
7bda73c3-143e-4b66-9799-672d26c0a5c7, [19:39:11:456:70751456:456819000, Cliente 4]
c5c4d9dd-dacd-4440-a184-4154b829612c, [19:39:11:456:70751456:456819000, Cliente 4]
2118328c-93e1-4d2f-a52e-00eb0eee5a1c, [19:39:11:456:70751456:456819000, Cliente 4]
1036a09d-fe8b-483c-8776-c610fcca2212, [19:39:11:456:70751456:456819000, Cliente 4]
4f28480e-3f5b-4353-a0f6-7c7cdb7c0a91, [19:39:11:456:70751456:456819000, Cliente 4]
4006985e-a207-4391-89b8-e8a6a1e03f61, [19:39:11:456:70751456:456819000, Cliente 4]
1d17897e-5ef4-4255-88c9-bf24803b30e8, [19:39:11:456:70751456:456819000, Cliente 4]
d01e5e62-dcf4-4560-a6c9-da4e863f2abf, [19:39:11:456:70751456:456819000, Cliente 4]
e0092f7e-9685-42d9-a6b1-51dc9a3266f1, [19:39:11:456:70751456:456819000, Cliente 4]
592f0952-5ea1-4fcb-8c66-a93e8e115199, [19:39:11:456:70751456:456819000, Cliente 4]
aed05d31-226d-46f4-b746-3ae433ecd857, [19:39:11:456:70751456:456819000, Cliente 4]
919e5902-2a28-4bd8-abc2-c9ca5956c82b, [19:39:11:456:70751456:456819000, Cliente 4]
0052f7e3-8399-4cb7-b2e9-ff3d14fd7e68, [19:39:11:456:70751456:456819000, Cliente 4]
dd2771c9-66c6-4e3b-9d5f-00fa2b2d57f9, [19:39:11:456:70751456:456819000, Cliente 4]
01f5d752-400a-4a7c-b55b-e22e68a238fb, [19:39:11:456:70751456:456819000, Cliente 4]
ca134331-13d3-47a2-b94d-79a594ff0f40, [19:39:11:456:70751456:456819000, Cliente 4]
7a657dba-a9d5-4cd6-b8b4-92090d827dbf, [19:39:11:456:70751456:456819000, Cliente 4]
a8caac09-9cbd-4620-a0d5-97350249b019, [19:39:11:456:70751456:456819000, Cliente 4]
c9307b4f-4387-42c0-bdcf-34aa4b8616d6, [19:39:11:456:70751456:456819000, Cliente 4]
f6709f0a-5c6c-4581-bbfd-8ab28ffdd599, [19:39:11:456:70751456:456819000, Cliente 4]
ecc3a686-cf6d-4ec7-9d2c-9a46bd415dda, [19:39:11:456:70751456:456819000, Cliente 4]
d1a05c07-f344-4a03-9e61-825f4ed79b51, [19:39:11:456:70751456:456819000, Cliente 4]
e6b988cb-b03d-4b52-9c5a-3d20d4a4e37d, [19:39:11:456:70751456:456819000, Cliente 4]
5401103f-bab9-433e-8e0a-01e2783ea838, [19:39:11:456:70751456:456819000, Cliente 4]
ef88ee95-37fe-401a-ad0d-a487a0f31ceb, [19:39:11:456:70751456:456819000, Cliente 4]
fe397362-3d3d-4d57-af0a-1d16cb05d78a, [19:39:11:456:70751456:456819000, Cliente 4]
0bb014f0-f187-4343-b8ff-ba3c55c49f59, [19:39:11:456:70751456:456819000, Cliente 4]
8a5b7e1d-624a-41bf-99ab-b7e2b92c4f91, [19:39:11:456:70751456:456819000, Cliente 4]
4ef197d3-6b5c-4c31-808a-b622ac404367, [19:39:11:456:70751456:456819000, Cliente 4]
0de9b4d4-00f5-4bbe-a42a-682af90bb672, [19:39:11:456:70751456:456819000, Cliente 4]
5733e5e2-e091-4c53-a69c-3c1541e7a912, [19:39:11:456:70751456:456819000, Cliente 4]
c79caa4a-473d-4651-8765-b41ad48c2b13, [19:39:11:456:70751456:456819000, Cliente 4]
d5164407-eb29-4bb8-a44c-b4a3ff965448, [19:39:11:456:70751456:456819000, Cliente 4]
cf4be773-4dd8-43af-8380-866f777a7942, [19:39:11:456:70751456:456819000, Cliente 4]
386468d6-1f8c-477d-9f96-46ebd1f65408, [19:39:11:456:70751456:456819000, Cliente 4]
a5a6ed14-aa07-4bad-bea7-12af774b7e2e, [19:39:11:456:70751456:456819000, Cliente 4]
2632e3d7-f8aa-44ad-b1b0-60ad8c9cc3be, [19:39:11:456:70751456:456819000, Cliente 4]
465f6d52-b7b0-420a-a985-f26d886182c6, [19:39:11:456:70751456:456819000, Cliente 4]
7607c945-b7d9-4825-b916-8690df113a87, [19:39:11:456:70751456:456819000, Cliente 4]
04db8c91-ce1b-4ea8-8d94-8853e83a6a80, [19:39:11:456:70751456:456819000, Cliente 4]
58fce843-a31e-4a37-a56c-ec5991e19eaa, [19:39:11:456:70751456:456819000, Cliente 4]
07c1b260-5f38-4aeb-b59e-73561418c8fb, [19:39:11:456:70751456:456819000, Cliente 4]
766a3197-e0dd-4082-8958-b578b8810715, [19:39:12:478:70752478:478050000, Cliente 5]
c69b6f91-59a4-40bd-ab91-05196c0bb38d, [19:39:12:478:70752478:478050000, Cliente 5]
634b8b22-9576-4ed5-87f0-cf6a477238c2, [19:39:12:478:70752478:478050000, Cliente 5]
53013a18-9a10-4ced-9533-c61ea05956cf, [19:39:12:478:70752478:478050000, Cliente 5]
2fda6017-5491-4ced-b483-eb501a744b0d, [19:39:12:478:70752478:478050000, Cliente 5]
44cb0890-6871-4d19-bde7-6cbd51826b63, [19:39:12:478:70752478:478050000, Cliente 5]
d3d0be41-60f6-4bc7-b2e7-28f69b8f8995, [19:39:12:478:70752478:478050000, Cliente 5]
695e7d4d-c534-41f5-81ca-8fde9dd44770, [19:39:12:478:70752478:478050000, Cliente 5]
f23fc9e1-8de4-477e-a61f-4efe64138947, [19:39:12:478:70752478:478050000, Cliente 5]
a57877f3-57c9-411d-97bb-bd1b359e9887, [19:39:12:478:70752478:478050000, Cliente 5]
c669e81a-d1f7-4fcb-ad37-1d203b23bbca, [19:39:12:478:70752478:478050000, Cliente 5]
fc4ea6c4-f0d9-4739-a75b-7e036035f780, [19:39:12:478:70752478:478050000, Cliente 5]
039a862c-d4b4-42a5-8b48-c37f15d067cf, [19:39:12:478:70752478:478050000, Cliente 5]
d1636e1a-9727-47b4-8ac8-ab735435631d, [19:39:12:478:70752478:478050000, Cliente 5]
e84a5631-6ce6-41ab-8d12-9237501e3951, [19:39:12:478:70752478:478050000, Cliente 5]
1b4f3da8-6d41-4f0c-b54c-a943ab691143, [19:39:12:478:70752478:478050000, Cliente 5]
5671b29b-c6b6-4a2e-9f41-188e71f3ed72, [19:39:12:478:70752478:478050000, Cliente 5]
