ba35647c-8ddb-4ee9-a9b8-f8b6e54c4fdc, [12:53:21:107:46401107:107980000, Cliente 4]
a930310c-b2b9-4c9c-a656-8ec9535a43fb, [12:53:21:107:46401107:107980000, Cliente 4]
7cb3f4f2-c911-442c-be58-d5ab71b8b1fb, [12:53:21:107:46401107:107980000, Cliente 4]
f3cc2f80-c4e7-47c8-8d0d-9ea50d3e62a2, [12:53:21:107:46401107:107980000, Cliente 4]
cdd8d0c1-cdac-465e-99a8-88f487c118c3, [12:53:21:107:46401107:107980000, Cliente 4]
d12e31f6-d05c-4508-abe4-ff5bfcf37f79, [12:53:21:107:46401107:107980000, Cliente 4]
f1e3fe7d-c6e6-4968-b689-00cc876e2f9c, [12:53:21:107:46401107:107980000, Cliente 4]
8f3b9b7e-37d9-444e-b66b-503fc34757db, [12:53:21:107:46401107:107980000, Cliente 4]
f0a68c6e-0ab7-45e5-86b0-9e1119f07997, [12:53:21:107:46401107:107980000, Cliente 4]
16b6d47a-8032-4a56-b057-7f25b8cca756, [12:53:21:107:46401107:107980000, Cliente 4]
77bf492b-97d5-455f-845d-f0f486871450, [12:53:21:107:46401107:107980000, Cliente 4]
87dcf76a-7428-4050-8caa-6c8e4e6e46d6, [12:53:21:107:46401107:107980000, Cliente 4]
518e12e4-57c6-453e-9485-b1931fe0abef, [12:53:21:107:46401107:107980000, Cliente 4]
e97b2ed8-43ff-4ced-85eb-5b3d452eb6fc, [12:53:21:107:46401107:107980000, Cliente 4]
c62f1e55-933a-40a7-93e6-c15b7912129f, [12:53:21:107:46401107:107980000, Cliente 4]
dc924782-2753-43c6-b7ad-0473ef5eb2e6, [12:53:21:107:46401107:107980000, Cliente 4]
65e63991-499e-42cf-af5e-9a05225c19e9, [12:53:21:107:46401107:107980000, Cliente 4]
f57cf478-0ba9-4cc1-a4ec-1a51ac1c5855, [12:53:21:107:46401107:107980000, Cliente 4]
5670b6ea-0bd0-4a5f-81fe-b085f6db8740, [12:53:21:107:46401107:107980000, Cliente 4]
c757f87c-20e1-48d7-8fc8-2693fdf58fe8, [12:53:21:107:46401107:107980000, Cliente 4]
9e3557ad-78ca-4dc4-b07f-0044b34637b1, [12:53:21:107:46401107:107980000, Cliente 4]
580041ae-84b4-4a02-9954-b0229adbc237, [12:53:21:107:46401107:107980000, Cliente 4]
e0038781-03a1-440f-8b82-618f12f933af, [12:53:21:107:46401107:107980000, Cliente 4]
96d6ccaa-fbbc-42ef-b5ed-2d57d1e34157, [12:53:21:107:46401107:107980000, Cliente 4]
f51c578c-6d77-4aff-a09c-502e54776f36, [12:53:21:107:46401107:107980000, Cliente 4]
9b8b0439-1396-45a5-a8ec-790273e32a73, [12:53:21:107:46401107:107980000, Cliente 4]
fa2a6d25-5356-409c-9f08-709e4c118a7d, [12:53:21:107:46401107:107980000, Cliente 4]
d1ac076d-e447-4363-8a7e-36443543ca2e, [12:53:21:107:46401107:107980000, Cliente 4]
a13e90ca-9396-4f7a-91c6-b862e8c0b516, [12:53:21:107:46401107:107980000, Cliente 4]
ce5e650f-f14a-4f5d-9aba-25362165a554, [12:53:21:107:46401107:107980000, Cliente 4]
75346c0e-0106-48ab-bedf-73f36ee30aaf, [12:53:21:107:46401107:107980000, Cliente 4]
e84c7c6d-ae63-4856-b4cd-29e2ec6b7a2f, [12:53:21:107:46401107:107980000, Cliente 4]
