39ca4612-4eb2-4839-8399-045b0dea2c6d, [20:57:35:230:75455230:230258000, Cliente 2]
9099c6d0-0bc7-4da7-a217-1690a6025413, [20:57:35:230:75455230:230258000, Cliente 2]
c60f8b10-27bf-4200-a687-28721ea22e6c, [20:57:35:230:75455230:230258000, Cliente 2]
c15ab0dd-2bbb-4da3-a2b5-d38c51130d46, [20:57:35:230:75455230:230258000, Cliente 2]
27718ae0-7caa-4a35-ba0d-b360683fa5f5, [20:57:35:230:75455230:230258000, Cliente 2]
8d6e6203-5cee-42d5-81ee-6af91d5aeb16, [20:57:35:230:75455230:230258000, Cliente 2]
87dc1f1d-4427-485a-ba93-ebec84cabc3e, [20:57:35:230:75455230:230258000, Cliente 2]
7f11eda0-a1d0-4186-b399-f3dda586a818, [20:57:35:230:75455230:230258000, Cliente 2]
d51202bc-f7c7-4c28-a2ac-3d832eaff952, [20:57:35:230:75455230:230258000, Cliente 2]
4b5bb814-f17b-4cb5-b654-1ef4abd86a56, [20:57:35:230:75455230:230258000, Cliente 2]
eb8f8395-878a-4bc7-9cbc-3005cdec485a, [20:57:35:230:75455230:230258000, Cliente 2]
91034600-9d8e-40cc-963d-e5a34b6a99f2, [20:57:35:230:75455230:230258000, Cliente 2]
af330e84-a845-44fb-8431-cc85f02bbfd8, [20:57:35:230:75455230:230258000, Cliente 2]
8964a857-8b07-44d6-a936-64a49d6a50bd, [20:57:35:230:75455230:230258000, Cliente 2]
2cc56e18-3fe1-4743-a50f-f86c07d7fb66, [20:57:35:230:75455230:230258000, Cliente 2]
98071baf-a6ca-4dd3-9a83-fffb6841e214, [20:57:35:230:75455230:230258000, Cliente 2]
0d191d99-9ac1-4183-bfdb-2d0dcd0b35fd, [20:57:35:230:75455230:230258000, Cliente 2]
7e7825a7-a434-4dd9-aa02-1500c64d6143, [20:57:35:230:75455230:230258000, Cliente 2]
27e76378-5922-4e38-af2d-e306e5c25880, [20:57:35:230:75455230:230258000, Cliente 2]
db90b69b-8e5b-49d2-97f3-55b18ffbfb85, [20:57:35:230:75455230:230258000, Cliente 2]
8bccd5cd-0dfe-4cab-b8a7-27e0a4c99592, [20:57:35:230:75455230:230258000, Cliente 2]
abdc0971-39b8-4588-90ce-07f5d4bfc1f9, [20:57:35:230:75455230:230258000, Cliente 2]
c5ed5e2f-5099-495e-b5f0-6e6063a15f5b, [20:57:35:230:75455230:230258000, Cliente 2]
dac27997-3dd2-47c6-accd-af1715af2e06, [20:57:35:230:75455230:230258000, Cliente 2]
dbdd2e51-1f14-4afd-bb5e-0f77095bc38e, [20:57:35:230:75455230:230258000, Cliente 2]
429125b2-f65d-498c-af54-988fb1bf1897, [20:57:35:230:75455230:230258000, Cliente 2]
