8452d599-f8e4-4067-b487-a72be8b76c10, [21:23:07:524:76987524:524997000, Cliente 4]
34b9c80c-aee7-45f7-86a3-f984555270f3, [21:23:07:524:76987524:524997000, Cliente 4]
bb4ea06a-c06f-4713-8316-50c98b1094a0, [21:23:07:524:76987524:524997000, Cliente 4]
c19275da-06b8-46f0-a33c-9c59fe0471df, [21:23:07:524:76987524:524997000, Cliente 4]
affa5b8f-7b54-4c80-b286-d7d2ebde770d, [21:23:07:524:76987524:524997000, Cliente 4]
8c7dd3ff-b28f-4c0f-a027-638649bff832, [21:23:07:524:76987524:524997000, Cliente 4]
af58e494-06ac-4c98-a247-f3b3389ac935, [21:23:07:524:76987524:524997000, Cliente 4]
3006f9ad-8d49-4119-8dc8-eae266ac3341, [21:23:07:524:76987524:524997000, Cliente 4]
03bd97ad-0c5d-4dd1-b809-35fb89e00ad5, [21:23:07:524:76987524:524997000, Cliente 4]
66ab7961-cc02-4daa-91ef-5716d772ee97, [21:23:07:524:76987524:524997000, Cliente 4]
839bff35-faa7-4a6a-b17c-b7a66e4d4a12, [21:23:07:524:76987524:524997000, Cliente 4]
d5605772-7fc5-4205-a1e6-b8057f10c771, [21:23:07:524:76987524:524997000, Cliente 4]
7f631892-247f-4988-8cb9-253835e90ef8, [21:23:07:524:76987524:524997000, Cliente 4]
637c9096-19f4-4cf6-9c07-24efad15012b, [21:23:07:524:76987524:524997000, Cliente 4]
fc37849b-403a-4632-953d-47c988077f97, [21:23:07:524:76987524:524997000, Cliente 4]
292ff20a-4158-40f8-9913-f408c67d1375, [21:23:07:524:76987524:524997000, Cliente 4]
37b4d551-a666-4805-94e1-23e9279e9c9e, [21:23:07:524:76987524:524997000, Cliente 4]
1bdc1b40-ee89-4969-aa43-f5d47489bed2, [21:23:07:524:76987524:524997000, Cliente 4]
5a3ff8cc-c656-4644-a4bc-d6e26cb5fd68, [21:23:07:524:76987524:524997000, Cliente 4]
8991183f-2230-41db-834d-6b1e4c9d6d12, [21:23:07:524:76987524:524997000, Cliente 4]
05762989-1f3b-49cc-9bd6-1cfc07949a1a, [21:23:07:524:76987524:524997000, Cliente 4]
e1d20bb6-b84d-41ca-8af1-08d2320e4330, [21:23:07:524:76987524:524997000, Cliente 4]
c04b6092-cbd4-484c-b3d3-8eb1f832a307, [21:23:07:524:76987524:524997000, Cliente 4]
65fc62a5-d1b5-48b2-b7f2-ddd5919095a5, [21:23:07:524:76987524:524997000, Cliente 4]
7d17ec85-a306-4f3b-b585-e83b2038c09b, [21:23:07:524:76987524:524997000, Cliente 4]
b6dbe992-506d-4e65-9c59-dae74e7658b1, [21:23:07:524:76987524:524997000, Cliente 4]
85149fc9-0a8c-44ef-a8c1-8bb1c7c0d1ce, [21:23:07:524:76987524:524997000, Cliente 4]
b163ac1e-841c-43a0-95ba-966771042574, [21:23:07:524:76987524:524997000, Cliente 4]
cf5f82c3-8c9b-414b-a3fe-7e56be4a42d2, [21:23:07:524:76987524:524997000, Cliente 4]
936e3447-b79b-4b43-b2c4-af3ee30b67ac, [21:23:07:524:76987524:524997000, Cliente 4]
64f43201-dbf9-49e1-b3b7-40ea060a7390, [21:23:07:524:76987524:524997000, Cliente 4]
e849ff4b-d777-4b89-9ddb-710554e9a20f, [21:23:07:524:76987524:524997000, Cliente 4]
035ee500-6dbd-484b-9f2a-9f3f4f6ca3d8, [21:23:07:524:76987524:524997000, Cliente 4]
48e94d7d-d059-4964-9324-f9a3674e546b, [21:23:07:524:76987524:524997000, Cliente 4]
4ed415a3-e98a-42c5-a82d-b36df9f0ec68, [21:23:07:524:76987524:524997000, Cliente 4]
e5a73c72-c35f-4ead-bbc1-1f5588127f21, [21:23:07:524:76987524:524997000, Cliente 4]
9bc787a9-cb10-404a-82c3-7802a32263cb, [21:23:07:524:76987524:524997000, Cliente 4]
11e04252-3423-43ef-a9b4-db239cedbe03, [21:23:07:524:76987524:524997000, Cliente 4]
ef6acd8f-d84c-48e5-981b-963695f0b0a2, [21:23:07:524:76987524:524997000, Cliente 4]
69c08244-a0b7-43d7-97fb-04da06d55e97, [21:23:07:524:76987524:524997000, Cliente 4]
052078ea-df0f-45c6-b517-3c0d85b0d1e3, [21:23:07:524:76987524:524997000, Cliente 4]
5f12f682-77cc-4569-9c11-4b5dfe683c27, [21:23:07:524:76987524:524997000, Cliente 4]
c489f560-9c92-4a21-9e56-6728e137eaff, [21:23:07:524:76987524:524997000, Cliente 4]
91013e1d-61b4-41eb-ab99-009feb1f1d33, [21:23:07:524:76987524:524997000, Cliente 4]
7139e554-cfd1-4d35-8d3d-e008250d1a96, [21:23:07:524:76987524:524997000, Cliente 4]
896d52bd-412a-4c95-9a64-10fd970d1be7, [21:23:07:524:76987524:524997000, Cliente 4]
1c2c5f00-098b-4d03-8084-acd29457584e, [21:23:07:524:76987524:524997000, Cliente 4]
f89a0ba2-ac40-4b3c-a82e-214f9cd98372, [21:23:07:524:76987524:524997000, Cliente 4]
33c884cf-c04e-409c-8474-fa2d8e239d96, [21:23:07:524:76987524:524997000, Cliente 4]
39d9e84c-1037-48a8-9aad-6ed00ed2467c, [21:23:07:524:76987524:524997000, Cliente 4]
eb9d6658-bc97-4195-bb6d-09c8b1bb3866, [21:23:07:524:76987524:524997000, Cliente 4]
a52061ab-e0bf-492d-98c0-0caa6e58ce98, [21:23:07:524:76987524:524997000, Cliente 4]
ea2e6e4f-d79a-4b5f-a2ff-2d8392430f14, [21:23:07:524:76987524:524997000, Cliente 4]
5ee60515-9c9e-409d-80d9-8d4a0f4bae60, [21:23:07:524:76987524:524997000, Cliente 4]
1d7c74ea-7519-4ee7-bce7-117ad3a80533, [21:23:07:524:76987524:524997000, Cliente 4]
f095f390-22f5-427b-b235-417726c643bd, [21:23:07:524:76987524:524997000, Cliente 4]
27d25636-2d4b-4bf3-a97c-ed0e619d15bf, [21:23:07:524:76987524:524997000, Cliente 4]
8f9a0afd-146a-46ae-949a-e415a7a19730, [21:23:07:524:76987524:524997000, Cliente 4]
a17be0f6-9acb-426b-b2ba-451c52b201fb, [21:23:07:524:76987524:524997000, Cliente 4]
4e234d32-4b22-4bd4-bfaa-8dc60a1c7a10, [21:23:07:524:76987524:524997000, Cliente 4]
13ae4ced-1d59-4b49-98d8-6a94da4613e9, [21:23:07:524:76987524:524997000, Cliente 4]
83861574-2a18-4c62-9281-fddbc383d522, [21:23:07:524:76987524:524997000, Cliente 4]
7965bfa0-770b-4ead-a454-e172f7f58987, [21:23:07:524:76987524:524997000, Cliente 4]
f81b0c1f-c262-4e1f-860b-1d121b2dc78a, [21:23:07:524:76987524:524997000, Cliente 4]
b2126d0a-f6d2-4c26-8d98-d089d82855bc, [21:23:07:524:76987524:524997000, Cliente 4]
ce4e9a19-63b5-49f8-9c99-774a6b0d8e37, [21:23:07:524:76987524:524997000, Cliente 4]
3d3e24b2-557e-4e4c-ad5f-bbcbd4666097, [21:23:07:524:76987524:524997000, Cliente 4]
66db6853-25b4-48ad-bdd3-10ba92945b46, [21:23:07:524:76987524:524997000, Cliente 4]
