8ac2fdff-fbdf-487d-b9c0-ba12f65b2853, [19:31:35:996:70295996:996067000, Cliente 3]
0c6c24e7-0949-41eb-a12c-f5c8e0823c31, [19:31:35:996:70295996:996067000, Cliente 3]
0c4b514a-2818-4a32-b9ee-7721a5b0a3cb, [19:31:35:996:70295996:996067000, Cliente 3]
3dbf91b2-6fe7-4304-93a1-d03fb1792d01, [19:31:35:996:70295996:996067000, Cliente 3]
866590e7-0503-4b76-a699-238c96fc8660, [19:31:35:996:70295996:996067000, Cliente 3]
7339c440-0e23-4909-83df-d65a8a422167, [19:31:35:996:70295996:996067000, Cliente 3]
c8034367-6672-48bf-bdd7-5bdeb2da6c43, [19:31:35:996:70295996:996067000, Cliente 3]
0baaf1ba-e382-45f5-b082-63c4c8817b16, [19:31:35:996:70295996:996067000, Cliente 3]
93002b9a-9460-4cbf-8e64-a977ba0a6a72, [19:31:35:996:70295996:996067000, Cliente 3]
063fd101-0dec-4752-8509-7269641a0325, [19:31:36:993:70296993:993314000, Cliente 4]
89fd32b1-2685-458e-951a-96b01e189b6e, [19:31:36:993:70296993:993314000, Cliente 4]
fa4ac737-8d63-4912-9248-677ca6171fdb, [19:31:36:993:70296993:993314000, Cliente 4]
d5dacaac-0cf4-45bf-aa64-75aff04d4647, [19:31:36:993:70296993:993314000, Cliente 4]
eaa25209-b43b-4b4b-8542-4d2abbe80441, [19:31:36:993:70296993:993314000, Cliente 4]
d5192649-a4d9-45df-ae7b-b644ac57fe68, [19:31:36:993:70296993:993314000, Cliente 4]
952e1526-4229-423b-8c34-ff30735e5fa6, [19:31:36:993:70296993:993314000, Cliente 4]
6e925836-77dc-45e4-84ce-4cfeb2fcaa9f, [19:31:36:993:70296993:993314000, Cliente 4]
5306b939-aff8-4079-ba1a-25788780f36c, [19:31:36:993:70296993:993314000, Cliente 4]
0d81de16-b37b-49a2-8e85-cc7253d41547, [19:31:36:993:70296993:993314000, Cliente 4]
80747994-1420-4055-adca-4235d3930c16, [19:31:36:993:70296993:993314000, Cliente 4]
55d93394-6353-447e-ad20-8f673da346f1, [19:31:36:993:70296993:993314000, Cliente 4]
47ac6560-c022-45a6-a8ad-d1d7bd40d9e4, [19:31:36:993:70296993:993314000, Cliente 4]
820c1939-da87-4b6e-aef5-4f06010bf47f, [19:31:36:993:70296993:993314000, Cliente 4]
e25eb664-6b3d-4ba9-9aca-b2a2bb77df4b, [19:31:36:993:70296993:993314000, Cliente 4]
cbe4a026-3b98-46a7-af6d-188b0ed584f0, [19:31:36:993:70296993:993314000, Cliente 4]
f4cffd85-c11a-41a0-a76e-a88676a2324d, [19:31:36:993:70296993:993314000, Cliente 4]
0e7c98a1-98a4-43d5-97a9-2f597bd9d183, [19:31:36:993:70296993:993314000, Cliente 4]
db0a1f57-a2f3-4e92-833c-45e1d92773ac, [19:31:36:993:70296993:993314000, Cliente 4]
1afc0e7c-2d46-4296-a8b6-105e4b5b5fe9, [19:31:36:993:70296993:993314000, Cliente 4]
94b2cabf-eeea-42cc-a269-dff43fd2ddcb, [19:31:36:993:70296993:993314000, Cliente 4]
05ef1ed1-11eb-4a7e-bc18-e15710ca767f, [19:31:36:993:70296993:993314000, Cliente 4]
