4a4be1e9-08f7-4e1d-a892-4f9242d973e2, [19:48:02:968:71282968:968480000, Cliente 4]
5949a977-73a9-4ccb-890e-8b3877b3bbfb, [19:48:02:968:71282968:968480000, Cliente 4]
e6879466-3df1-4635-8368-ffb3bb9bc30e, [19:48:02:968:71282968:968480000, Cliente 4]
26a40cbf-81d5-4b30-a6d8-8712f7edac3c, [19:48:02:968:71282968:968480000, Cliente 4]
ea5740c3-1052-4c0e-8e7c-43ceff6309a5, [19:48:02:968:71282968:968480000, Cliente 4]
1e4ede99-0078-4036-89b0-f66469193e20, [19:48:02:968:71282968:968480000, Cliente 4]
5902e05c-6d69-4055-8963-7e4c3507b406, [19:48:02:968:71282968:968480000, Cliente 4]
22669fce-3b8f-4fe5-bfd5-ffd3e2179699, [19:48:02:968:71282968:968480000, Cliente 4]
1b21bf7c-6e4a-4c36-bd51-e2a8a9cc09ea, [19:48:02:968:71282968:968480000, Cliente 4]
7cf68cac-63d5-4c83-be6a-0d3e738abf2b, [19:48:02:968:71282968:968480000, Cliente 4]
aae2489b-b0fc-40d7-acd8-cacbd1079341, [19:48:02:968:71282968:968480000, Cliente 4]
229bff1b-1a6d-45b8-8e85-bcd322123cd7, [19:48:02:968:71282968:968480000, Cliente 4]
cedfdae0-17ba-4e3e-8848-5289b3234756, [19:48:02:968:71282968:968480000, Cliente 4]
38d1cc1e-0e77-4815-9344-538bbac43d62, [19:48:02:968:71282968:968480000, Cliente 4]
6ff71aa2-fb43-4bfe-9e23-d61c82876684, [19:48:02:968:71282968:968480000, Cliente 4]
cc613660-b7d7-4d15-a713-8ad1521e7cfb, [19:48:02:968:71282968:968480000, Cliente 4]
74f66f26-8c9e-4d1f-a6df-5a3207291b11, [19:48:02:968:71282968:968480000, Cliente 4]
eef990ce-41da-4fbb-9d40-c985313e906a, [19:48:02:968:71282968:968480000, Cliente 4]
26896b5e-7eac-4e62-bf21-d7668f1c8c83, [19:48:02:968:71282968:968480000, Cliente 4]
b7b1178d-4621-4e44-ae51-c9abd2fd78a4, [19:48:02:968:71282968:968480000, Cliente 4]
72fad664-e4ae-4645-8e28-8733890c9d13, [19:48:02:968:71282968:968480000, Cliente 4]
f304801f-dfe4-44d2-b168-95e2d8af3031, [19:48:02:968:71282968:968480000, Cliente 4]
621721dd-5592-4820-9add-2302facd3de2, [19:48:02:968:71282968:968480000, Cliente 4]
56aa1c14-2aae-4e5f-a715-31d69dc1be09, [19:48:02:968:71282968:968480000, Cliente 4]
7637d535-6699-4875-ae82-c2d1bf30bd53, [19:48:02:968:71282968:968480000, Cliente 4]
